"date","minutes_url","jornada_number","visitor_team_name","visitor_team_id","season","time","categoria_id","local_points","visitor_points","local_team_id","local_team_name"
"03/12/2016","liga_eacta.php?IDENCUENTRO=131701083&EL=C.T.M. CORUÑA&EV=HELIOS BEMBRIVE, T.M.&IDJORNADA=100&IDNIVEL=17#acta","8","HELIOS BEMBRIVE, T.M.","832","2016-2017","17:00","17","0","6","796","C.T.M. CORUÑA"
"03/12/2016","liga_eacta.php?IDENCUENTRO=131701084&EL=ARTEAL&EV=LICEO CASINO&IDJORNADA=100&IDNIVEL=17#acta","8","LICEO CASINO","10573","2016-2017","17:00","17","5","1","1274","ARTEAL"
"03/12/2016","liga_eacta.php?IDENCUENTRO=131701085&EL=CLUB FERROL TM&EV=NARONENSE&IDJORNADA=100&IDNIVEL=17#acta","8","NARONENSE","10490","2016-2017","17:00","17","4","2","10504","CLUB FERROL TM"
"04/12/2016","liga_eacta.php?IDENCUENTRO=131701086&EL=MONTE PORREIRO PUB PATRIMONIO&EV=ARENAL CTM MILAGROSA&IDJORNADA=100&IDNIVEL=17#acta","8","ARENAL CTM MILAGROSA","16008","2016-2017","11:00","17","4","2","16009","MONTE PORREIRO PUB PATRIMONIO"
"10/12/2016","liga_eacta.php?IDENCUENTRO=131701091&EL=ARENAL CTM MILAGROSA&EV=LICEO CASINO&IDJORNADA=100&IDNIVEL=17#acta","9","LICEO CASINO","10573","2016-2017","17:00","17","5","1","16008","ARENAL CTM MILAGROSA"
"10/12/2016","liga_eacta.php?IDENCUENTRO=131701092&EL=HELIOS BEMBRIVE, T.M.&EV=LICEO DE NOIA&IDJORNADA=100&IDNIVEL=17#acta","9","LICEO DE NOIA","16010","2016-2017","17:00","17","4","3","832","HELIOS BEMBRIVE, T.M."
"10/12/2016","liga_eacta.php?IDENCUENTRO=131701093&EL=NARONENSE&EV=ARTEAL&IDJORNADA=100&IDNIVEL=17#acta","9","ARTEAL","1274","2016-2017","18:00","17","6","0","10490","NARONENSE"
"11/12/2016","liga_eacta.php?IDENCUENTRO=131701094&EL=CLUB DEL MAR PROMESAS&EV=C.T.M. CORUÑA&IDJORNADA=100&IDNIVEL=17#acta","9","C.T.M. CORUÑA","796","2016-2017","11:00","17","6","0","1007","CLUB DEL MAR PROMESAS"
"11/12/2016","liga_eacta.php?IDENCUENTRO=131701095&EL=MONTE PORREIRO PUB PATRIMONIO&EV=CD DEZ PORTAS LUGAUTO&IDJORNADA=100&IDNIVEL=17#acta","9","CD DEZ PORTAS LUGAUTO","16104","2016-2017","11:00","17","2","4","16009","MONTE PORREIRO PUB PATRIMONIO"
"11/12/2016","liga_eacta.php?IDENCUENTRO=131701096&EL=MERCANTIL VIGO TENIS DE MESA&EV=CLUB FERROL TM&IDJORNADA=100&IDNIVEL=17#acta","9","CLUB FERROL TM","10504","2016-2017","11:00","17","4","3","14025","MERCANTIL VIGO TENIS DE MESA"
